sub_id cluster_1
nora_n015t1 21.15747747  
nora_n017t1 -47.5264699  
nora_n018t1 -11.28226453  
nora_n021t1 5.043748244  
nora_n022t1 -32.27800081  
nora_n027t1 -16.20891114  
nora_n028t1 -18.57371349  
nora_n029t1 -16.93943319  
nora_n031t1 20.81609696  
nora_n032t1 -11.13169054  
nora_n033t1 2.62909471  
nora_n034t1 -8.49282386  
nora_n035t1 -40.00256967  
nora_n036t1 6.169236153  
nora_n037t1 12.42373264  
nora_n041t1 -12.78564525  
nora_n042t1 5.664557956  
nora_n044t1 19.07446281  
nora_n046t1 -21.64697984  
nora_n048t1 27.98728755  
nora_n049t1 31.13165529  
nora_n050t1 -11.70698854  
nora_n054t1 -14.05747443  
nora_n055t1 8.472037934  
nora_n058t1 28.14031444  
nora_n059t1 -0.3363507125  
nora_n060t1 -22.81337243  
nora_n064t1 -30.77609524  
nora_n066t1 46.92496717  
nora_n069t1 -9.997077064  
nora_n070t1 13.52453326  
nora_n071t1 -25.57565412  
nora_n072t1 4.860234412  
nora_n075t1 11.46681011  
nora_n077t1 -10.11375742  
nora_n080t1 -31.68916712  
nora_n086t1 -23.59806652  
nora_n088t1 3.667776461  
nora_n092t1 -8.375649072  
nora_n095t1 14.97267207  
nora_n096t1 -19.86759989  
nora_n097t1 3.037657861  
nora_n098t1 28.48316958  
nora_n099t1 8.581072272  
nora_n100t1 16.62191863  
nora_n101t1 -13.84873458  
nora_n103t1 11.58353056  
nora_n104t1 12.7966708  
nora_n107t1 -11.85023905  
nora_n108t1 -9.573318167  
nora_n111t1 -34.58006272  
nora_n112t1 12.0278131  
nora_n114t1 2.73374579  
nora_n115t1 -44.73975999  
nora_n116t1 -16.18355022  
nora_n120t1 5.194946551  
nora_n121t1 2.472385252  
nora_n123t1 -49.87954162  
nora_n127t1 17.78711644  
nora_n134t1 10.08477012  
nora_n139t1 -8.919100775  
nora_n141t1 8.999148499  
nora_n142t1 -1.497470115  
nora_n143t1 48.55853877  
nora_n147t1 -22.31113756  
nora_n148t1 -3.42679809  
nora_n149t1 10.08070097  
nora_n150t1 11.1385873  
nora_n151t1 -10.43132846  
nora_n154t1 8.967427723  
nora_n155t1 -66.1212841  
nora_n157t1 2.794324453  
nora_n159t1 -39.26018372  
nora_n160t1 20.47430454  
nora_n161t1 -4.96360984  
nora_n163t1 12.59632396  
nora_n164t1 -24.98693828  
nora_n170t1 -7.413737738  
nora_n171t1 4.647244095  
nora_n174t1 -21.75983588  
nora_n175t1 17.42985408  
nora_n180t1 13.20595385  
nora_n181t1 19.13056994  
nora_n182t1 4.530152292  
nora_n183t1 14.91880977  
nora_n184t1 -2.530172585  
nora_n185t1 14.99237537  
nora_n187t1 -11.76762537  
nora_n192t1 -3.419442679  
nora_n193t1 0.9851508142  
nora_n194t1 5.178023535  
nora_n195t1 -2.926094221  
nora_n196t1 -4.808772417  
nora_n197t1 8.641131897  
nora_n199t1 3.306431487  
