sub_id cluster_1
nora_n015t1 20.80718426  
nora_n017t1 40.56050677  
nora_n018t1 -44.09779461  
nora_n021t1 36.37407195  
nora_n022t1 0.351664435  
nora_n027t1 -40.67033642  
nora_n028t1 17.49517122  
nora_n029t1 -5.425532061  
nora_n031t1 25.44603979  
nora_n032t1 -24.88783005  
nora_n033t1 -7.284843556  
nora_n034t1 -0.04620393231  
nora_n035t1 -7.039039125  
nora_n036t1 7.771986936  
nora_n037t1 0.2270432413  
nora_n041t1 11.99332615  
nora_n042t1 17.85027266  
nora_n044t1 27.29123651  
nora_n046t1 -3.894376772  
nora_n048t1 18.01126913  
nora_n049t1 3.842373101  
nora_n050t1 8.364164865  
nora_n054t1 -1.617495377  
nora_n055t1 7.03843389  
nora_n058t1 33.46917798  
nora_n059t1 -1.558413135  
nora_n060t1 20.01832425  
nora_n064t1 -61.36629435  
nora_n066t1 12.90789341  
nora_n069t1 26.35405809  
nora_n070t1 10.16698717  
nora_n071t1 -24.04728172  
nora_n072t1 -5.329961482  
nora_n075t1 -97.59835101  
nora_n077t1 -40.24340369  
nora_n080t1 -49.33483077  
nora_n086t1 23.57850932  
nora_n088t1 -2.888849394  
nora_n092t1 -14.06239868  
nora_n095t1 0.7892882609  
nora_n096t1 -65.70526852  
nora_n097t1 16.68790425  
nora_n098t1 -12.14500351  
nora_n099t1 16.40713115  
nora_n100t1 1.724574768  
nora_n101t1 0.8732039331  
nora_n103t1 -0.9021292822  
nora_n104t1 -9.185538666  
nora_n107t1 16.79168947  
nora_n108t1 -7.775999644  
nora_n111t1 -61.68607639  
nora_n112t1 1.270019174  
nora_n114t1 -2.284511108  
nora_n115t1 -62.39386086  
nora_n116t1 -31.36078474  
nora_n120t1 -0.3701395096  
nora_n121t1 9.814080569  
nora_n123t1 -31.4511326  
nora_n127t1 32.14025444  
nora_n134t1 -12.83910127  
nora_n139t1 27.21376092  
nora_n141t1 -8.263769129  
nora_n142t1 17.51081272  
nora_n143t1 11.25119245  
nora_n147t1 -34.85526412  
nora_n148t1 -14.75171686  
nora_n149t1 14.49279782  
nora_n150t1 33.18661987  
nora_n151t1 10.69475757  
nora_n154t1 5.688024973  
nora_n155t1 -66.83911603  
nora_n157t1 20.58940485  
nora_n159t1 -23.68022949  
nora_n160t1 0.4739238408  
nora_n161t1 40.77900439  
nora_n163t1 28.96884872  
nora_n164t1 10.3439074  
nora_n170t1 47.96561165  
nora_n171t1 -11.46027959  
nora_n174t1 15.83480987  
nora_n175t1 8.863550553  
nora_n180t1 -9.784235621  
nora_n181t1 3.21669102  
nora_n182t1 16.67749092  
nora_n183t1 35.56224642  
nora_n184t1 29.42125132  
nora_n185t1 -33.03382398  
nora_n187t1 -6.922780012  
nora_n192t1 16.13553747  
nora_n193t1 11.65553187  
nora_n194t1 -16.70201307  
nora_n195t1 -0.5694260082  
nora_n196t1 -43.10144468  
nora_n197t1 13.92542347  
nora_n199t1 19.34507407  
